brand,title,accords,gender,age,secondary notes
Jacques-Griffe,Mistigri Jacques Griffe for women,"aldehydic,warm spicy,soapy,",female,older_twenty_five,"fatty,waxy,lily,pungent,lemon"
Frazer-Parfum,Chapter Four Frazer Parfum for women and men,"almond,herbal,sweet,nutty,aromatic,white floral,",unisex,older_twenty_five,"powdery,cherry,vanilla,apple,phenolic"
Yves-Rocher,Mauves Cristallisées Yves Rocher for women,"almond,musky,sweet,nutty,floral,aromatic,",female,older_twenty_five,"powdery,cherry,vanilla,phenolic,anisic"
Les-Parfums-du-Soleil,Ambre Nomade Les Parfums du Soleil for women and men,"amber,animalic,balsamic,powdery,marine",unisex,older_twenty_five,"musk,dry,vanilla,berry,leather"
Honore-Payan,Ambré Eau de Toilette Honore Payan for women,"amber,animalic,balsamic,powdery,marine",female,older_twenty_five,"musk,dry,vanilla,berry,leather"
Ramakrishnananda,Manjari Ramakrishnananda for women and men,"amber,animalic,powdery,balsamic,floral,marine",unisex,older_twenty_five,"musk,dry,vanilla,berry,leather"
Abdul-Karim-Al-Faransi,Sheikh Al Faransi Abdul Karim Al Faransi for men,"amber,animalic,woody,sweet,oud",male,older_twenty_five,"musk,leather,tobacco,dry,meat"
Natura,Ervas Feminino Natura for women,"amber,aromatic,green,fresh spicy,floral",female,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Bond-No-9,Lafayette Street Bond No 9 for women and men,"amber,aromatic,vanilla,fruity,floral,woody,",unisex,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Floris,Amber Oud Floris for women and men,"amber,balsamic,patchouli,citrus,vanilla,oud,",unisex,under_twenty_five,"dairy,powdery,coconut,grass,nut"
Kuumba-Made,Amber Paste Kuumba Made for women and men,"amber,balsamic,sweet,warm spicy,animalic",unisex,older_twenty_five,"musk,leather,tobacco,meat,tropicalfruit"
JoAnne-Bassett,Tetu JoAnne Bassett for women and men,"amber,balsamic,warm spicy,citrus,patchouli,",unisex,older_twenty_five,"cacao,berry,whiteflower"
Dana,White Chantilly Dana for women,"amber,floral,musky,vanilla,animalic",female,older_twenty_five,"musk,powdery,dairy,nut,leather"
Robbie-VanGogh,Opus Nocturne Robbie VanGogh for women and men,"amber,fresh spicy,aromatic,woody,balsamic,",unisex,older_twenty_five,"cacao,blackcurrant,anisic,dry,berry"
Giorgio-Monti,Monti by Giorgio Monti Giorgio Monti for women,"amber,musky,floral,animalic,woody,",female,older_twenty_five,"musk,leather,tobacco,dry,meat"
Wajid-Farah,Enigma Wajid Farah for women and men,"amber,oud,fresh spicy,animalic,rose",unisex,older_twenty_five,"musk,leather,tobacco,meat,tropicalfruit"
M-Micallef,Note Poudree M. Micallef for women,"amber,rose,fruity,powdery,vanilla,",female,older_twenty_five,"dairy,dry,almond,musk,coconut"
Kuumba-Made,Amber & Sandalwood Kuumba Made for women and men,"amber,warm spicy,woody,balsamic,citrus,powdery,",unisex,older_twenty_five,"vanilla,dry,musk,berry,almond"
JAFRA,Jafra Xclusive Speed JAFRA for men,"amber,woody,citrus,animalic,powdery,balsamic",male,older_twenty_five,"musk,dry,vanilla,berry,leather"
Mekkanische-Rose,Alhambra Mekkanische Rose for women,"amber,yellow floral,woody,sweet,citrus,white floral",female,older_twenty_five,"blackcurrant,anisic,dry,pungent"
Viktor-Rolf,Eau Mega Viktor&Rolf for women,"aquatic,fresh,green,fruity,ozonic,",female,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Marilyn-Miglin,Duke Marilyn Miglin for women and men,"aromatic,balsamic,sweet,fresh spicy,woody,green",unisex,older_twenty_five,"cacao,berry,whiteflower,pungent,blackcurrant"
Avon,Attraction Avon for men,"aromatic,balsamic,warm spicy,fresh spicy,musky,,",male,older_twenty_five,"cacao,berry,whiteflower"
Anna-Zworykina-Perfumes,Verdigris Anna Zworykina Perfumes for women and men,"aromatic,balsamic,woody,green,fresh spicy",unisex,older_twenty_five,"cacao,berry,whiteflower,blackcurrant,anisic"
Estiara,Backpack Estiara for men,"aromatic,citrus,balsamic,amber,warm spicy,fresh spicy",male,under_twenty_five,"cacao,berry,whiteflower"
Astier-de-Villatte,Elixir du Docteur Flair Astier de Villatte for women and men,"aromatic,citrus,bitter,woody,fresh spicy,warm spicy,",unisex,older_twenty_five,"blackcurrant,anisic,dry"
WIDIAN,New York WIDIAN for women and men,"aromatic,citrus,fresh spicy,amber,balsamic,",unisex,older_twenty_five,"cacao,berry,whiteflower"
10th-Avenue-Karl-Antony,One Sport 10th Avenue Karl Antony for men,"aromatic,citrus,fresh spicy,balsamic,warm spicy,musky",male,older_twenty_five,"cacao,berry,whiteflower"
Clarins,Eau Dynamisante 25th Anniversary Fragrance Spray Clarins for women and men,"aromatic,citrus,fresh spicy,green,herbal",unisex,older_twenty_five,"apple,grapefruit,musty,clean,oily"
Kappa,Platino Man Kappa for men,"aromatic,citrus,marine,fresh spicy,green,",male,under_twenty_five,"grapefruit,musty,clean,oily,grass"
